aid	name	lat1	lat2	lng1	lng2	alt
54541	柏崎	37	21.1	138	33.2	7
54566	守門	37	20.8	139	2.6	222
54586	大潟	37	13.5	138	19.5	13
54606	小国	37	17.5	138	42.1	83
54616	小出	37	13.6	138	57.8	98
54621	大湯	37	12.3	139	3.7	240
54651	高田	37	6.4	138	14.8	13
54661	安塚	37	6.4	138	27.4	126
54666	川谷	37	12	138	31	206
54671	松代	37	7.9	138	36.4	210
54676	十日町	37	8.6	138	43.6	170
54711	糸魚川	37	2.6	137	52.5	8
54721	能生	37	5	138	1.4	55
54737	筒方	37	1.8	138	20.6	255
54761	塩沢	37	2.3	138	50.8	195
54816	関山	36	56	138	13.3	350
54836	津南	36	59.8	138	41	452
54841	湯沢	36	56.5	138	48.6	340
54876	平岩	36	53.2	137	51.8	260
54892	樽本	36	53.4	138	16.5	625
55021	泊	36	57.1	137	33.1	13
55041	氷見	36	51.8	136	57.6	7
55056	魚津	36	49.3	137	25.7	48
55063	宇奈月	36	50.8	137	33.4	160
55091	伏木	36	47.5	137	3.3	12
55102	富山	36	42.5	137	12.1	9
55141	砺波	36	36.6	136	57.3	69
55151	秋ヶ島	36	38.9	137	11.2	24
55156	大山	36	36.5	137	17	128
55166	上市	36	40.2	137	25.4	296
55191	南砺高宮	36	32.7	136	52.3	91
